model,calls,input_tokens,output_tokens,cost_usd,mean_latency_s
claude-haiku-4.5,2055,2286147,1149599,8.03172,5.835763503649635
claude-sonnet-4.5,2,2059,913,0.019872,9.2595
gemini-2.5-flash,2000,2009524,2580680,7.0568782,8.228065
gemini-2.5-pro,2,1875,3434,0.03668375,15.389499999999998
gpt-5.2,2000,1903272,801285,10.39194,6.591203999999999
gpt-5.4-mini,1000,994638,322836,0.8943315,2.7183919999999997
perplexity-sonar,2000,1913980,2347887,4.266553,5.62664
perplexity-sonar-pro,2,1778,2211,0.038499000000000005,5.1315
